            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459902.043750000, A.D. 2022-Nov-18 13:03:00.0000, -3.795369942432874E+05,  7.985275633144296E+04,  2.928919680888315E+04, -1.503115609311988E-01, -9.696944166140741E-01, -5.592892809047528E-02,  1.297399894851695E+00,  3.889507034865312E+05, -5.661922478799388E-02,
2459902.085416667, A.D. 2022-Nov-18 14:03:00.0000, -3.800618066919832E+05,  7.635836537573925E+04,  2.908659246780842E+04, -1.412465502538852E-01, -9.716206088207132E-01, -5.662841279183656E-02,  1.296717739137557E+00,  3.887461983482510E+05, -5.699366330923059E-02,
2459902.127083333, A.D. 2022-Nov-18 15:03:00.0000, -3.805539383806658E+05,  7.285718383078733E+04,  2.888147678639551E+04, -1.321556860803163E-01, -9.734668987303712E-01, -5.732410614087996E-02,  1.296031126033991E+00,  3.885403569182381E+05, -5.736159557350812E-02,
2459902.168750000, A.D. 2022-Nov-18 16:03:00.0000, -3.810132973522605E+05,  6.934950007201548E+04,  2.867386353273497E+04, -1.230395892028672E-01, -9.752328827784108E-01, -5.801594186494452E-02,  1.295340134155582E+00,  3.883332027645517E+05, -5.772294083431877E-02,
2459902.210416667, A.D. 2022-Nov-18 17:03:00.0000, -3.814397938960646E+05,  6.583560392316975E+04,  2.846376671390856E+04, -1.138988868226867E-01, -9.769181599247241E-01, -5.870385346433316E-02,  1.294644843082682E+00,  3.881247597447817E+05, -5.807761899178469E-02,
2459902.252083333, A.D. 2022-Nov-18 18:03:00.0000, -3.818333405709181E+05,  6.231578664704891E+04,  2.825120057680079E+04, -1.047342126050184E-01, -9.785223317522955E-01, -5.938777421552605E-02,  1.293945333353516E+00,  3.879150520036801E+05, -5.842555061453888E-02,
2459902.293750000, A.D. 2022-Nov-18 19:03:00.0000, -3.821938522285731E+05,  5.879034093588038E+04,  2.803617960889862E+04, -9.554620673339423E-02, -9.800450025681338E-01, -6.006763717462765E-02,  1.293241686456022E+00,  3.877041039707161E+05, -5.876665696180951E-02,
2459902.335416667, A.D. 2022-Nov-18 20:03:00.0000, -3.825212460372547E+05,  5.525956090132853E+04,  2.781871853907819E+04, -8.633551596263606E-02, -9.814857795065809E-01, -6.074337518104456E-02,  1.292533984819420E+00,  3.874919403575487E+05, -5.910086000570398E-02,
2459902.377083333, A.D. 2022-Nov-18 21:03:00.0000, -3.828154415054116E+05,  5.172374206412667E+04,  2.759883233837802E+04, -7.710279367060399E-02, -9.828442726349977E-01, -6.141492086140626E-02,  1.291822311805524E+00,  3.872785861554204E+05, -5.942808245368943E-02,
2459902.418750000, A.D. 2022-Nov-18 22:03:00.0000, -3.830763605056502E+05,  4.818318134332449E+04,  2.737653622075755E+04, -6.784869990862501E-02, -9.841200950618295E-01, -6.208220663372571E-02,  1.291106751699770E+00,  3.870640666324698E+05, -5.974824777126572E-02,
2459902.460416667, A.D. 2022-Nov-18 23:03:00.0000, -3.833039272988475E+05,  4.463817704514199E+04,  2.715184564384029E+04, -5.857390145053699E-02, -9.853128630470508E-01, -6.274516471180880E-02,  1.290387389701979E+00,  3.868484073309603E+05, -6.006128020482703E-02,
2459902.502083333, A.D. 2022-Nov-19 00:03:00.0000, -3.834980685584388E+05,  4.108902885142164E+04,  2.692477630964071E+04, -4.927907184028184E-02, -9.864221961149883E-01, -6.340372710991343E-02,  1.289664311916841E+00,  3.866316340644286E+05, -6.036710480470764E-02,
2459902.543750000, A.D. 2022-Nov-19 01:03:00.0000, -3.836587133948727E+05,  3.753603780767004E+04,  2.669534416527376E+04, -3.996489143797985E-02, -9.874477171695171E-01, -6.405782564766588E-02,  1.288937605344121E+00,  3.864137729147478E+05, -6.066564744840700E-02,
2459902.585416667, A.D. 2022-Nov-19 02:03:00.0000, -3.837857933802306E+05,  3.397950631068068E+04,  2.646356540364637E+04, -3.063204746441730E-02, -9.883890526116278E-01, -6.470739195523406E-02,  1.288207357868585E+00,  3.861948502291088E+05, -6.095683486398951E-02,
2459902.627083333, A.D. 2022-Nov-19 03:03:00.0000, -3.838792425730024E+05,  3.041973809572914E+04,  2.622945646412978E+04, -2.128123404387827E-02, -9.892458324593587E-01, -6.535235747876478E-02,  1.287473658249649E+00,  3.859748926169142E+05, -6.124059465365373E-02,
2459902.668750000, A.D. 2022-Nov-19 04:03:00.0000, -3.839389975430134E+05,  2.685703822333226E+04,  2.599303403321182E+04, -1.191315224525034E-02, -9.900176904700819E-01, -6.599265348608818E-02,  1.286736596110734E+00,  3.857539269465902E+05, -6.151685531746471E-02,
2459902.710416667, A.D. 2022-Nov-19 05:03:00.0000, -3.839649973964969E+05,  2.329171306556298E+04,  2.575431504512817E+04, -2.528510121333830E-03, -9.907042642651349E-01, -6.662821107269229E-02,  1.285996261928347E+00,  3.855319803423111E+05, -6.178554627724471E-02,
2459902.752083333, A.D. 2022-Nov-19 06:03:00.0000, -3.839571838013034E+05,  1.972407029191216E+04,  2.551331668247164E+04,  6.871977253717303E-03, -9.913051954567933E-01, -6.725896116797137E-02,  1.285252747020863E+00,  3.853090801806365E+05, -6.204659790061541E-02,
2459902.793750000, A.D. 2022-Nov-19 07:03:00.0000, -3.839155010122424E+05,  1.615441885468920E+04,  2.527005637677846E+04,  1.628758774889494E-02, -9.918201297775567E-01, -6.788483454175348E-02,  1.284506143537023E+00,  3.850852540870649E+05, -6.229994152518488E-02,
2459902.835416667, A.D. 2022-Nov-19 08:03:00.0000, -3.838398958965479E+05,  1.258306897395305E+04,  2.502455180909050E+04,  2.571759214284972E-02, -9.922487172117495E-01, -6.850576181110851E-02,  1.283756544444144E+00,  3.848605299324963E+05, -6.254550948287306E-02,
2459902.877083333, A.D. 2022-Nov-19 09:03:00.0000, -3.837303179594610E+05,  9.010332121965315E+03,  2.477682091049257E+04,  3.516125409249111E-02, -9.925906121294067E-01, -6.912167344744191E-02,  1.283004043516030E+00,  3.846349358296095E+05, -6.278323512436819E-02,
2459902.918750000, A.D. 2022-Nov-19 10:03:00.0000, -3.835867193699209E+05,  5.436521007157281E+03,  2.452688186262357E+04,  4.461783010374867E-02, -9.928454734224339E-01, -6.973249978387602E-02,  1.282248735320587E+00,  3.844085001291502E+05, -6.301305284370645E-02,
2459902.960416667, A.D. 2022-Nov-19 11:03:00.0000, -3.834090549863584E+05,  1.861949557602747E+03,  2.427475309816062E+04,  5.408656950456972E-02, -9.930129646430170E-01, -7.033817102292345E-02,  1.281490715207154E+00,  3.841812514161306E+05, -6.323489810296758E-02,
2459903.002083333, A.D. 2022-Nov-19 12:03:00.0000, -3.831972823825812E+05, -1.713067096011491E+03,  2.402045330127497E+04,  6.356671442022845E-02, -9.930927541442578E-01, -7.093861724445544E-02,  1.280730079293521E+00,  3.839532185059396E+05, -6.344870745707740E-02,
2459903.043750000, A.D. 2022-Nov-19 13:03:00.0000, -3.829513618737448E+05, -5.288212637925388E+03,  2.376400140805873E+04,  7.305749975102262E-02, -9.930845152230159E-01, -7.153376841396780E-02,  1.279966924452663E+00,  3.837244304403643E+05, -6.365441857870939E-02,
2459903.085416667, A.D. 2022-Nov-19 14:03:00.0000, -3.826712565423986E+05, -8.863169585363556E+03,  2.350541660692131E+04,  8.255815315243425E-02, -9.929879262649228E-01, -7.212355439114715E-02,  1.279201348299163E+00,  3.834949164835201E+05, -6.385197028327609E-02,
2459903.127083333, A.D. 2022-Nov-19 15:03:00.0000, -3.823569322645994E+05, -1.243761930711909E+04,  2.324471833895446E+04,  9.206789501783068E-02, -9.928026708915452E-01, -7.270790493874174E-02,  1.278433449175339E+00,  3.832647061176930E+05, -6.404130255400080E-02,
2459903.168750000, A.D. 2022-Nov-19 16:03:00.0000, -3.820083577360820E+05, -1.601124204267101E+04,  2.298192629826476E+04,  1.015859384637836E-01, -9.925284381096600E-01, -7.328674973173788E-02,  1.277663326137075E+00,  3.830338290390892E+05, -6.422235656706039E-02,
2459903.210416667, A.D. 2022-Nov-19 17:03:00.0000, -3.816255044984782E+05, -1.958371692184286E+04,  2.271706043227267E+04,  1.111114893180831E-01, -9.921649224626120E-01, -7.386001836684541E-02,  1.276891078939337E+00,  3.828023151534959E+05, -6.439507471678899E-02,
2459903.252083333, A.D. 2022-Nov-19 18:03:00.0000, -3.812083469655738E+05, -2.315472198500980E+04,  2.245014094197673E+04,  1.206437461105248E-01, -9.917118241837174E-01, -7.442764037229477E-02,  1.276116808021401E+00,  3.825701945718499E+05, -6.455940064093210E-02,
2459903.293750000, A.D. 2022-Nov-19 19:03:00.0000, -3.807568624495938E+05, -2.672393420386175E+04,  2.218118828218200E+04,  1.301819000665467E-01, -9.911688493516715E-01, -7.498954521794632E-02,  1.275340614491763E+00,  3.823374976057159E+05, -6.471527924594025E-02,
2459903.335416667, A.D. 2022-Nov-19 20:03:00.0000, -3.802710311875049E+05, -3.029102950272933E+04,  2.191022316169149E+04,  1.397251351037960E-01, -9.905357100479226E-01, -7.554566232571752E-02,  1.274562600112756E+00,  3.821042547626742E+05, -6.486265673229215E-02,
2459903.377083333, A.D. 2022-Nov-19 21:03:00.0000, -3.797508363673254E+05, -3.385568278048001E+04,  2.163726654345957E+04,  1.492726278317013E-01, -9.898121245159686E-01, -7.609592108032531E-02,  1.273782867284859E+00,  3.818704967416158E+05, -6.500148061983396E-02,
2459903.418750000, A.D. 2022-Nov-19 22:03:00.0000, -3.791962641544312E+05, -3.741756793299108E+04,  2.136233964470605E+04,  1.588235475541289E-01, -9.889978173225284E-01, -7.664025084034959E-02,  1.273001519030700E+00,  3.816362544279473E+05, -6.513169977312430E-02,
2459903.460416667, A.D. 2022-Nov-19 23:03:00.0000, -3.786073037178457E+05, -4.097635787620594E+04,  2.108546393698984E+04,  1.683770562752035E-01, -9.880925195205428E-01, -7.717858094961622E-02,  1.272218658978755E+00,  3.814015588887047E+05, -6.525326442677327E-02,
2459903.502083333, A.D. 2022-Nov-20 00:03:00.0000, -3.779839472565041E+05, -4.453172456978078E+04,  2.080666114624114E+04,  1.779323087083662E-01, -9.870959688139501E-01, -7.771084074890400E-02,  1.271434391346747E+00,  3.811664413675749E+05, -6.536612621076042E-02,
2459903.543750000, A.D. 2022-Nov-20 01:03:00.0000, -3.773261900254783E+05, -4.808333904132716E+04,  2.052595325275085E+04,  1.874884522887521E-01, -9.860079097241865E-01, -7.823695958797361E-02,  1.270648820924734E+00,  3.809309332798279E+05, -6.547023817572162E-02,
